club_key,group_number,club_name,primary_language,address,zipcode,city,province,country
1,100,LA PILERIE,French,rue de la Pilerie 15,6590.0,Momignies,Hainaut,Belgium
2,101,BAM,French,Avenue Mathieu 9-11,6600.0,Bastogne,Luxembourg,Belgium
3,102,LES DAHUTS - ANDAGE,French,route d'Hatrival 11,6870.0,Saint-Hubert,Luxembourg,Belgium
4,103,LES TUNIQUES BLEUES,French,Rue Buisson aux Loups 12,1400.0,Nivelles,Brabant Wallon,Belgium
5,104,EVASION,French,Rue Léon Houtard 18,7110.0,Houdeng Goegnies,Hainaut,Belgium
6,105,LES AUBEPINES,French,Rue de l'Institut 40,4632.0,Cerexhe-Heuseux,Liège,Belgium
7,107,S.J.N. CLUB,French,Rue d'Anethan 33,1030.0,,Bruxelles,Belgium
8,109,LES CARACOLES,French,Rue D'Arquet 99,5000.0,,Namur,Belgium
9,110,LES QUILLES LIBRES,French,Rue de Sesselich 236,6700.0,Arlon,Luxembourg,Belgium
10,111,LA CLAIRIÈRE,French,Av. des Hannetons 58,1170.0,,Bruxelles,Belgium
11,112,RJCV SPORT,French,"Rue de Reumont, 143",5020.0,Malonne,Namur,Belgium
12,113,CLERLANDE SPORT,French,Allée de Clerlande 7,1340.0,Ottignies,Brabant Wallon,Belgium
13,115,LES OURSONS,French,Rue d'Anton 302,5300.0,Bonneville,Namur,Belgium
14,116,LES COPAINS,French,Rue Heideken 58,1083.0,,Bruxelles,Belgium
15,118,LES GRINGOS,French,Boulevard dessus de laVille 193,5550.0,Sugny,Namur,Belgium
16,119,METHYS,French,Quai de Rome 21,4000.0,Liege,Liège,Belgium
17,120,L'EFFORT,French,Rue St. Nicolas 554,4000.0,Liege,Liège,Belgium
18,121,L'ENVOL,French,Rue de La Vellerie 131,7700.0,Mouscron,Hainaut,Belgium
19,122,LA FORESTIERE,French,Rue de l'Ete 100,1050.0,,Bruxelles,Belgium
20,123,LA CLARINE,French,rue Dieu d'en bas 44,7170.0,Fayt-Lez-Manage,Hainaut,Belgium
21,124,JENNEVAUX RENCONTRE,French,rue du Centre 53,5170.0,Lesve,Namur,Belgium
22,125,LES KOLOUTES,French,Avenue Félix Lacourt 70,1390.0,Grez-Doiceau,Brabant Wallon,Belgium
23,126,SPORT DE L'AMITIE,French,,,Mont-Saint-Guibert,Brabant Wallon,Belgium
24,127,PÉRUWELZ RAINBOW SPORTS,French,Carrière d'Antour 1,7520.0,Tournai,Hainaut,Belgium
25,128,LES HAUTES ARDENNES,French,Place des Chasseurs Ardennais,6690.0,Vielsalm,Luxembourg,Belgium
26,129,C.S. DE HEMPTINNE,French,Drève de Hemptinne 4,1350.0,Jauche,Brabant Wallon,Belgium
27,131,LES ACACIAS,French,"Allée de la Cense du Colombier,2",1400.0,Nivelles,Brabant Wallon,Belgium
28,132,LA CORDEE SPORTS,French,Rue de l'Institut 30,5004.0,Bouge,Namur,Belgium
29,133,LES 1001 NUITS,French,Avenue Felix Lacourt 198,1390.0,Grez-Doiceau,Brabant Wallon,Belgium
30,134,CENTRE CERFONTAINE,French,Rue de la Loquette 39,7600.0,Peruwelz,Hainaut,Belgium
31,135,LE CASTILLON,French,Rue de la Malogne 3,7100.0,La Louvière,Hainaut,Belgium
32,137,MOSPO,French,Rue du Crétinier 184,7712.0,Herseaux,Hainaut,Belgium
33,138,OKAPI SPORT,French,Chaussée de Bruxelles 184,7061.0,Casteau,Hainaut,Belgium
34,139,CLAIRVAL SPORT ACIS,French,Place J. Maréchal 5,6940.0,Barvaux,Luxembourg,Belgium
35,140,LE SESAME,French,Avenue De Messidor 16,1180.0,,Bruxelles,Belgium
36,142,FARRA STRATEGIE,French,Rue de La Stratégie 30,1160.0,Auderghem,Bruxelles,Belgium
37,143,LE CHAT BOTTÉ,French,Rue Anatole France 1,7100.0,La Louvière,Hainaut,Belgium
38,144,LES PLATANES,French,Rue du Loutrier 75,1170.0,,Bruxelles,Belgium
39,145,LE PRETEXTE,French,Av. Kersbeek 340,1180.0,,Bruxelles,Belgium
40,146,LE PETIT POUCET,French,Rue du Fief 4,6470.0,Sivry,Hainaut,Belgium
41,147,CENTRE REINE FABIOLA,French,Rue de Neufvilles 455,7063.0,Neufvilles,Hainaut,Belgium
42,148,LES RENARDS DE VOLAIVILLE,French,Rue de la Misbour 370,6637.0,Fauvillers,Luxembourg,Belgium
43,152,S.R.A. L'ODYSSEE,French,"Rue de la Paix, 102",6061.0,Montignies / S / Sambre,Hainaut,Belgium
44,153,L'ESPACE LIOBA,French,"Avenue Vauban, 8",5000.0,,Namur,Belgium
45,154,LES BLÉS D’OR,French,Route de Velaines 23,7543.0,Mourcourt,Hainaut,Belgium
46,155,DELTA,French,Boulevard de Waterloo 1O5,1000.0,,Bruxelles,Belgium
47,157,DOMITILLE,French,Rue de Bosfagne 51 A,4950.0,Waimes,Liège,Belgium
48,158,SPORT ESPOIR,French,Domaine des Croisiers 2,4821.0,Dison  Andrimont,Liège,Belgium
49,159,LES BOLETS,French,Chaussée de La Hulpe 331,1170.0,,Bruxelles,Belgium
50,160,B.S.C. OSTBELGIEN,French,Dorfstraße 37,4780.0,Recht,Liège,Belgium
51,161,HOME VALERE DELCROIX,French,"46, rue du Pont Rieu",7500.0,Tournai,Hainaut,Belgium
52,162,A.T.L.A.S.H.,French,Grand Route 47,4500.0,Tihange,Liège,Belgium
53,163,FOYER DU FORT,French,Avenue du fort 288,4400.0,Flemalle,Liège,Belgium
54,164,ARBOTEAM,French,Rue de Briffoeil 31,7604.0,Wasmes A-B,Hainaut,Belgium
55,165,LE COLOMBIER,French,"Allée de la Cense du Colombier,2",1400.0,Nivelles,Brabant Wallon,Belgium
56,166,LES GOELANDS,French,Chemin du Home André Livémont 1,7972.0,Aubechies,Hainaut,Belgium
57,168,VRAIES RICHESSES,French,Rue de la Procession 24,1070.0,,Bruxelles,Belgium
58,169,CERISAIE SPORT,French,Rue de la Cerisaie 8,4690.0,Bassenge,Liège,Belgium
59,173,ALBATROS,French,Chemin du Bois 5,5660.0,Petite-Chapelle,Namur,Belgium
60,174,ALTEO MOUSCRON,French,Rue Saint Joseph 2,7700.0,Mouscron,Hainaut,Belgium
61,176,OLDS BRACQS,French,Rue Ergot 2,7110.0,Strepy-Bracquegnies,Hainaut,Belgium
62,177,"CERCLE SPORTIF ""LA SEVE""",French,Rue des 2 Tilleuls 45,4652.0,Xhendelesse,Liège,Belgium
63,178,LE JARDIN DES FÉES,French,Avenue de Jemappes 135B,7000.0,Mons,Hainaut,Belgium
64,179,EQUI - VALENCE,French,Rue les Frès 6A,6470.0,Rance,Hainaut,Belgium
65,180,PONY-CLUB HOF TE BEVER ASBL,French,"Place Albert 1er, 12/2",7070.0,Mignault,,Belgium
66,181,LA POMMERAIE,French,Rue Neuve 15,7972.0,Ellignies-Ste-Anne,Hainaut,Belgium
67,182,LES CANAILLES,French,Rue des Beguines 4,4350.0,Momalle,Liège,Belgium
68,183,LE BOIS ROUSSEL,French,Rue de Marchiennes 32,6110.0,Montigny-Le-Tilleul,Hainaut,Belgium
69,184,OXYGENE,French,Chemin de Foresse s/n,5300.0,Sclayn,Namur,Belgium
70,186,SIROCCO,French,Rue Toûne 6,1461.0,Haut-Ittre,Brabant Wallon,Belgium
71,187,AU PETIT BONHEUR,French,Thier Saint Léonard 50,4460.0,Grâce-Hollogne,Liège,Belgium
72,189,FOYER DE THÉMIS,French,Rue des fusillés 5,4141.0,Sprimont,Liège,Belgium
73,191,LES SCORPIONS,French,Rue du Roi Chevalier 1A,7904.0,Willaupuis,Hainaut,Belgium
74,194,LES SPITANTS,French,Rue Cheneux 16,4540.0,Amay,Liège,Belgium
75,195,LE KOALA,French,Rue Walthère Dewé 60,4000.0,Liege,Liège,Belgium
76,196,LES OLIVIERS SPORT,French,Rue de Herve 449,4030.0,Grivegnee,Liège,Belgium
77,197,L'ESCAPADE,French,Rue du Quinconce 16,7110.0,Houdeng-Aimeries,Hainaut,Belgium
78,198,LE CHEVREFEUIL,French,Rue de Préfayhai 21,4900.0,Spa,Liège,Belgium
79,203,FUN GYM B/ DANS LES YEUX DE LISA,French,Rue du Fonteneau 12,1400.0,Nivelles,Brabant Wallon,Belgium
80,204,C.S. KANGOUROUS,French,Chée de Tirlemont 60,1370.0,Jodoigne,Brabant Wallon,Belgium
81,205,ASCENSION 2,French,chemin de la Motelette 12,7322.0,Pommeroeul,Hainaut,Belgium
82,206,LA SOURIS VERTE,French,Chaussée de Roeulx 63,7000.0,Mons,Hainaut,Belgium
83,207,LES GRILLONS,French,Rue de Chèvremont 35,4051.0,Vaux-Sous-Chevremont,Liège,Belgium
84,209,HAMA II,French,Rue Jules Lejeune 46,1050.0,,Bruxelles,Belgium
85,210,A.S. AURORE,French,Rue du Château 82,6150.0,Anderlues,Hainaut,Belgium
86,211,LES BARRACUDAS,French,Rue de la Résistance 5,7610.0,Rumes,Hainaut,Belgium
87,213,LA PASSERELLE,French,Rue Middelbourg 68,1170.0,,Bruxelles,Belgium
88,214,L'ENVOLÉE,French,Rue Maison Communale 4,4802.0,Heusy-Verviers,Liège,Belgium
89,215,KEGELJAN,French,Rue Vandervelde 32,5190.0,Ham-Sur-Sambre,Namur,Belgium
90,217,GRAND AXHE,French,Rue Georges César 50,4300.0,Waremme,Liège,Belgium
91,219,BOTHEY CLUB,French,Rue Louis Burteau 48,5032.0,Gembloux,Namur,Belgium
92,221,INSTITUT DU BON PASTEUR,French,Rue d'Hoyaux 6,7602.0,Bury,Hainaut,Belgium
93,222,CENTRE DE VIE,French,Avenue J.J. Crocq 8,1090.0,,Bruxelles,Belgium
94,223,STARTEMIA,French,"Avenue des Champs, 129 b",1040.0,Etterbeek,Bruxelles,Belgium
95,224,LE GARDIAN V3,French,Rue de Bidet 8,5590.0,Chapois -Leignon,Namur,Belgium
96,227,TOMA STENA,French,"Rue Entre-Deux-Bois, 55",4670.0,Blegny,Liège,Belgium
97,229,DREAM TEAM,French,Rue du Melkriek 100,1180.0,,Bruxelles,Belgium
98,231,LE MAGNOLIA,French,"Omer Lescot, 12",7334.0,Hautrage,Hainaut,Belgium
99,232,ORFEA,French,"Avenue des Champs, 129",1040.0,Etterbeek,Bruxelles,Belgium
100,233,LES PETUNIAS,French,Avenue de la Couronne 554,1050.0,,Bruxelles,Belgium
101,234,CONFORT SOCIAL,French,"Rue de la Chassaudrie, 23-25",7600.0,Peruwelz,Hainaut,Belgium
102,235,LES FOUGERES,French,Rue du Loutrier 63,1170.0,,Bruxelles,Belgium
103,236,LA MAISON D'EMERAUDE,French,"Rue Aze Fosse, 31",6870.0,Arville,Luxembourg,Belgium
104,237,EMBARQUEMENT IMMEDIAT,French,avenue Macar 5,4100.0,Seraing,Liège,Belgium
105,238,LE VILLAGE,French,Avenue François Geuten 88,7780.0,Comines,Hainaut,Belgium
106,241,MISTRAL SPORT,French,Rue Solovaz 15,4470.0,Saint-Georges-Sur-Meuse,Liège,Belgium
107,242,C.S. LES TCHANTCHES,French,Rue de Herve 449,4030.0,Grivegnee,Liège,Belgium
108,243,LES RENES DE LA VIE,French,Chaussée de Bruxelles 111 bte 4,1310.0,La Hulpe,Brabant Wallon,Belgium
109,245,EQUISTAL,French,"Rue du Centre, 59",1404.0,Bornival,Brabant Wallon,Belgium
110,246,LE COUP FRANC,French,Rue St. Wivine 15,1315.0,Sart-Risbart,Brabant Wallon,Belgium
111,248,I.S.B.,French,Kattenberg 19,1170.0,Boitsfort,Bruxelles,Belgium
112,249,ROQUEBRUNE,French,Avenue Vauban 8,5000.0,,Namur,Belgium
113,251,LES PETITS GODETS,French,Rue de Cronfestu 28,7141.0,Carnieres,Hainaut,Belgium
114,252,LA FORET,French,Val des Epinettes 17,1150.0,,Bruxelles,Belgium
115,253,LES WEIGELIAS,French,Avenue de l'Arbalète 58,1170.0,,Bruxelles,Belgium
116,254,HADEP,French,Chée de Neerstalle 265,1190.0,,Bruxelles,Belgium
117,255,SAPI-CHAPELLE,French,"Rue des Bureaux, 6-8",7160.0,Chapelle-Lez-Herlaimont,Hainaut,Belgium
118,256,LES QUATRE SAISONS,French,Rue Principale 36,6953.0,Ambly,Luxembourg,Belgium
119,258,LES ALIZES,French,Rue des Fusillés 1,4837.0,Membach (Baelen),Liège,Belgium
120,259,COLIBRIS CLUB,French,Rue Sart-Moulin 1,1421.0,Ophain Bois Seigneur Isaac,Brabant Wallon,Belgium
121,260,L'ENTRE DEUX,French,Thier des Raves 2,4550.0,Nandrin,Liège,Belgium
122,261,LES LAPINS BLEUS,French,Rue La Ringe 20,5550.0,Alle S/ Semois,Namur,Belgium
123,262,ENVOL (LE DIARBOIS),French,"1ère Rue, 23 - Parc d'activités Economiques",6040.0,Jumet,Hainaut,Belgium
124,263,SAPI-TEAM,French,Chemin de Mons 29,7050.0,Masnuy-St-Jean,Hainaut,Belgium
125,267,ASBL ESSENTIEL,French,Chaussée de Louvain 563 A,1380.0,Lasne,Brabant Wallon,Belgium
126,268,DYNAMISPORT,French,Clos des Verdiers 9,1420.0,Braine L'Alleud,Brabant Wallon,Belgium
127,271,LE TOURNESOL SPORTIF,French,Chaussée de Dottignies 124,7730.0,Estaimpuis,Hainaut,Belgium
128,272,LE PETIT PRINCE DE COURCELLES,French,Rue des Claires fontaines 114,6180.0,Courcelles,Hainaut,Belgium
129,273,SAJA SOLIGNAC,French,Rue des  Lilas 7,5364.0,Hamois (Schaltin),Namur,Belgium
130,274,TABUCHET SPORT,French,Boulevard Ernest Solvay 475,4000.0,,Liège,Belgium
131,275,LA SYMPHONIE,French,Avenue Gustave Maigret 39,7030.0,Saint-Symphorien,Hainaut,Belgium
132,279,HAMA 1,French,Avenue  Ernest Cambier 10,1030.0,,Bruxelles,Belgium
133,281,RESIDENCE ÉLYSÉE,French,Trieu Moriau 3,7542.0,Mont-Saint-Aubert,Hainaut,Belgium
134,282,LA CASSINE,French,Place P- H Jouret 14-17,7880.0,Flobecq,Hainaut,Belgium
135,284,L'AIR DE PAIX,French,Route de Bavay 56,7080.0,Frameries,Hainaut,Belgium
136,285,LA BASTIDE,French,Avenue Vauban 8,5000.0,,Namur,Belgium
137,286,JUDO CLUB WELLIN ASBL,French,"Rue Paul Dubois, 45",6920.0,Wellin,Luxembourg,Belgium
138,287,HOCKEY TOGETHER PINGOUIN NIVELLES,French,"67, rue du Monde",1400.0,Nivelles,Brabant Wallon,Belgium
139,288,LE JARDIN DES ANGES,French,Rue de Ropaix n°16,7370.0,Dour,Hainaut,Belgium
140,289,NEW MOBILITY CLUB SPORTIF DE MOUSCRON,French,"Rue du Bois, 103",7700.0,Mouscron,Hainaut,Belgium
141,290,LOTUS D'OCQUIER,French,"Grand Rue, 62",4560.0,Ocquier,Liège,Belgium
142,291,LES DALTONS,French,"Rue Georges Tondeur, 60",7040.0,Quevy-Le-Grand (Mons),Hainaut,Belgium
143,292,CARPE DIEM ASBL,French,Rue du Plateau 11,5100.0,Jambes,Namur,Belgium
144,293,LES 3 SAPINS,French,Rue François Onckelet 10,7070.0,Mignault,Hainaut,Belgium
145,294,LA SAPINIERE DE QUAREGNON,French,Rue De Pâturages 48,7390.0,Quaregnon,Hainaut,Belgium
146,296,KANO JC TOURNAI,French,Rue de la Royère 80,7730.0,Nechin,Hainaut,Belgium
147,297,FOYER DU CALYDON,French,,,,Liège,Belgium
148,298,CERCLE ADAPTE ANDENNAIS,French,Rue de Velaine 162,5300.0,Andenne,Namur,Belgium
149,299,A.C.I.S. SOLEIL LEVANT,French,"Rue de Lodelinsart, 97",6061.0,Montignies - Sur - Samble,Hainaut,Belgium
150,300,LE CHAF ASBL,French,Rue Jules Maltaux 62,6240.0,Farciennes,Hainaut,Belgium
151,302,LE GRIMOIRE,French,Rue du Couvent 50,6890.0,Transinne,Luxembourg,Belgium
152,303,LES 3 FÉES,French,"Rue de la Sauveniere,100",4900.0,Spa,Liège,Belgium
153,304,LES DRAGONS,French,Rue Bonaert 29,7011.0,Ghlin,Hainaut,Belgium
154,306,MAISON DES PILIFS,French,"Place Peeter Benoît, 3",1120.0,,Bruxelles,Belgium
155,307,JOSO ASBL,French,Avenue du Pesage 12,1050.0,Ixelles,Bruxelles,Belgium
156,308,LA CARAVELLE,French,Rue du Canal 17,7640.0,Peronnes - Lez - Antoing,Hainaut,Belgium
157,309,LA RENAISSANCE,French,Avenue Maistriau 52,7000.0,Mons,Hainaut,Belgium
158,310,VISÉ - CENTRE DE CERFONTAINE,French,Rue Du Long Fossé 166A,4684.0,Haccourt,Liège,Belgium
159,311,CHEVAL ET FORET,French,Rue du Rouge-Cloître 5,1160.0,Auderghem,Bruxelles,Belgium
160,312,FAGN' HANDISPORTS ASBL,French,Winamplanche 6,4900.0,Spa,Liège,Belgium
161,314,LIFE BADMINTON LE ROEULX,French,Manoir Saint Jean,7070.0,Le Roeulx,Hainaut,Belgium
162,315,ECOLE NOS PILIFS,French,Avenue des Pagodes 212,1020.0,Laeken,Bruxelles,Belgium
163,316,LA CADOLE ASBL,French,Avenue de la Basilique 55,7603.0,Bonsecours,Hainaut,Belgium
164,317,CTM - CAROLO TEAM MARCINELLE,French,Rue du Débarcadère 100,6001.0,Marcinelle,Hainaut,Belgium
165,318,L'ECHALIER,French,Rue de L'Institut 40,4632.0,Cerexhe - Heuseux,Liège,Belgium
166,319,ASBL L'ETOILE FILANTE,French,"Pont- A - La - Faulx, 107",7600.0,Péruwelz,Hainaut,Belgium
167,321,ACBBH,French,Quartier Des Bruyères 5,7321.0,Blaton,Hainaut,Belgium
168,322,ACBB,French,Quartier des Bruyères 5,7321.0,Blaton,Hainaut,Belgium
169,323,LA GARENNE,French,"Rue du Vert Velu, 67",7608.0,Wiers - Péruwelz,Hainaut,Belgium
170,324,LES VELDEMANNEKES,French,Jules Bordetlaan 132A,1140.0,Brussel,Bruxelles,Belgium
171,325,ALL STARS,French,Rue Anntoine Gosselin 16,7973.0,Strambruges,Hainaut,Belgium
172,326,LE PART'AGE,French,Rue du Saclet 2,7730.0,Estaimpuis,Hainaut,Belgium
173,327,LE PAYS DE COCAGNE,French,Chaussée du Roeulx 63,7000.0,Mons,Hainaut,Belgium
174,328,16 ÂMES,French,"Vieux Chemin De Lille, 36",7501.0,Orcq,Hainaut,Belgium
175,329,L'ACCUEIL MOSAN ASBL,French,Avenue de la Marlagne 205,5000.0,,Namur,Belgium
176,330,LA BOULAIE,French,Rue Jéricho 10,6460.0,Chimay,Hainaut,Belgium
177,331,SAPI BL'A,French,213 Avenue Alphonse Allard,1420.0,Braine L'Alleud,Brabant Wallon,Belgium
178,332,B.C. CLERFAYT,French,Rue de Clerfayt 104/C,,,Hainaut,Belgium
179,333,EESSCF - LES PEUPLIERS,French,Rue Mionvaux 33,6900.0,Marloie,Luxembourg,Belgium
180,334,LE NIDVELLES° (LE COLOMBIER 2),French,Allée de la Cense du Colombier 2,1400.0,Nivelles,Brabant Wallon,Belgium
181,335,ASCENSION ERQUELINNES,French,13 rue de Bougnies,6560.0,Erquelinnes,Hainaut,Belgium
182,336,LONCIN AU PETIT BONHEUR,French,Rue de Jemeppe 224,4431.0,Loncin,Liège,Belgium
183,338,C GO GYM,French,Rue du Bornoville 49,7700.0,Mouscron,Hainaut,Belgium
184,339,CIGALINE,French,Rue de l'Hopital 3,6567.0,Merbes-Le-Château,Hainaut,Belgium
185,340,WOLFHANDI RACLO,French,"boulevard du Tivoli, 80",7100.0,La Louvière,Hainaut,Belgium
186,341,JUDO TOP NIVEAU TOURNAI,French,Rue Du Désert 37,7500.0,Tournai,Hainaut,Belgium
187,342,AU FOYER DE CASSIOPEE,French,Cour 3,4987.0,Stoumont,Liège,Belgium
188,343,HOCKEY TOGETHER,French,"Vieille Rue du Moulin, 230",1180.0,Uccle,Bruxelles,Belgium
189,344,RESIDENCE CHATEAU ARC-EN-CIEL,French,Rue docteur coffee 15,7110.0,Strepy Bracquegnies,Hainaut,Belgium
190,345,ASBL LES PASSEREAUX,French,Route d'Henri Chapelle 10,4650.0,Battice,Liège,Belgium
191,346,TAGO ASBL,French,Rue des faînes 228,1120.0,Neder-Over-Heembeek,Bruxelles,Belgium
192,347,TIFRA HENSIES,French,"Rue Haute, 32",7350.0,Hensies,Hainaut,Belgium
193,348,NOKTO,French,"Rue des faines, 228",1120.0,Neder-Over-Hembeek,Bruxelles,Belgium
194,349,LE BOIS DE SAPINS,French,"Chaussée de Louvain, 27",1210.0,Saint-Josse Ten-Noode,Bruxelles,Belgium
195,350,LES LEUPS,French,Thier St Leonard 50,4460.0,Grâce-Hollogne,Liège,Belgium
196,351,LES MARSOUX,French,"Débarcadère, 100",6001.0,Marcinelle,Hainaut,Belgium
197,352,LA PREVOTE,French,"2, Place de la résistance",7331.0,Baudour,Hainaut,Belgium
198,353,MALMEDY ATHLETIC CLUB,French,Rue St Hilaire 28,4960.0,Malmedy,Liège,Belgium
199,354,LE SEQUOIA,French,"Chaussée de Maubeuge,470Bis",7022.0,Hyon,Hainaut,Belgium
200,355,VILLA PILIFS,French,Rue du Wimpelberg 188,1120.0,Neder-Over-Heembeek,Bruxelles,Belgium
201,356,REVALITY SPORT ASBL,French,"Allée de Clerlande,6",1340.0,Ottignies-Louvain-La-Neuve,Brabant Wallon,Belgium
202,357,FOOT'GERES,French,Rue du Couvent 16A,7340.0,Colfontaine,Hainaut,Belgium
203,358,DOMAINE DE LA PASSERELLE,French,Chaussée de Churchill 54,4420.0,Liège,,Belgium
204,359,ÉTOILE MARCHOISE,French,Chaussée de l'Ourthe 96,6900.0,Marche-En-Famenne,Luxembourg,Belgium
205,360,FOYER D'ASTREE,French,Rue De Tilff 412,4031.0,Liège,,Belgium
206,361,LES CHANTERELLES,French,Rue Beauregard 27,4130.0,Esneux,Liège,Belgium
207,362,RÉSIDENCE TIFRA,French,Rue du Bourrelier 30,7050.0,Jurbise,Hainaut,Belgium
208,500,LOMMELSE TENNIS CLUB,Dutch,Sint Bernardstraat,3920.0,Lommel,Limburg,Belgium
209,501,ZONNELIED,Dutch,Kloosterstraat 7,1761.0,Roosdaal,Vlaams Brabant,Belgium
210,502,BORGERSTEIN,Dutch,Kapelweg 7,2860.0,Sint-Katelijne-Waver,Antwerpen,Belgium
211,504,DE GRAAF,Dutch,Welzijnscampus 5/B31,3600.0,Genk,,Belgium
212,505,OPEN KANS,Dutch,Welzijnscampus 5 bus 31,3600.0,Genk,Limburg,Belgium
213,506,G-BLACK DEVILS UNITED,Dutch,Cousseweg 7,8490.0,Jabbeke,West-Vlaanderen,Belgium
214,507,DRAPI,Dutch,Spoorweglaan 19,9840.0,De Pinte,Oost-Vlaanderen,Belgium
215,508,SPORTCLUB DRUIVENSTREEK,Dutch,Deromstraat 45,3080.0,Duisburg,Vlaams Brabant,Belgium
216,509,FRISA,Dutch,Lostraat 175,1760.0,Roosdaal,Vlaams Brabant,Belgium
217,510,JC KUMIUCHI BERLARE,Dutch,Dorp 37b,9290.0,Berlare,Oost-Vlaanderen,Belgium
